,student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,enrollment_date,G1_exam_date,G2_exam_date,G3_exam_date
0,S149,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6.0,5,6.0,6,2008-09-02,2008-11-29,2009-03-04,2009-05-31
1,S108,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4.0,5,5.0,6,2008-09-04,2008-11-30,2009-02-23,2009-05-29
2,S035,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10.0,7,8.0,10,2008-09-04,2008-11-29,2009-02-25,2009-06-03
3,S022,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2.0,15,14.0,15,2008-09-10,2008-12-09,2009-03-01,2009-06-04
4,S063,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4.0,6,10.0,10,2008-09-11,2008-12-07,2009-03-03,2009-06-01
5,S256,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10.0,15,15.0,15,2008-09-11,2008-12-10,2009-03-13,2009-06-01
6,S251,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,12,12.0,11,2008-09-14,2008-12-14,2009-03-17,2009-06-05
7,S107,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6.0,6,5.0,6,2008-09-11,2008-12-13,2009-02-28,2009-06-06
8,S204,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0.0,16,18.0,19,2008-09-05,2008-12-05,2009-03-03,2009-05-26
9,S185,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,14,15.0,15,2008-09-02,2008-11-28,2009-02-22,2009-06-02
10,S029,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0.0,10,8.0,9,2008-09-09,2008-12-05,2009-02-28,2009-06-03
11,S017,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,,yes,yes,yes,yes,no,5,2,2,1,1,4,4.0,10,12.0,12,2008-09-13,2008-12-05,2009-03-06,2009-06-12
12,S213,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2.0,14,14.0,14,2008-09-14,2008-12-11,2009-03-05,2009-06-11
13,S192,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2.0,10,10.0,11,2008-09-04,2008-11-25,2009-02-28,2009-05-27
14,S177,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,14,16.0,16,2008-09-04,2008-12-06,2009-03-07,2009-05-25
15,S076,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4.0,14,14.0,14,2008-09-01,2008-12-02,2009-02-26,2009-05-30
16,S078,GP,F,16,U,GT3,T,4,4,,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6.0,13,14.0,14,2008-09-02,2008-11-22,2009-03-01,2009-05-24
17,S065,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4.0,8,10.0,10,2008-09-08,2008-12-08,2009-03-04,2009-05-29
18,S273,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16.0,6,5.0,5,2008-09-08,2008-11-28,2009-02-25,2009-06-08
19,S255,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4.0,8,10.0,10,2008-09-06,2008-12-05,2009-02-24,2009-05-31
20,S194,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,13,14.0,15,2008-09-05,2008-11-25,2009-02-26,2009-05-23
21,S196,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0.0,12,15.0,15,2008-09-12,2008-12-08,2009-03-04,2009-06-06
22,S254,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2.0,15,15.0,16,2008-09-07,2008-12-05,2009-03-08,2009-05-31
